tileswide 20
tileshigh 11
tilewidth 8
tileheight 8

layer 0
{2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0},
{2,0,0,0,2,0,0,2,2,2,1,1,1,0,1,1,1,1,1,1},
{2,0,0,0,2,0,2,2,0,0,1,0,1,0,1,0,1,0,1,0},
{2,2,2,0,2,2,2,0,0,0,1,1,1,1,1,0,1,1,1,0},
{0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,1,0},
{0,0,2,0,0,2,2,2,2,2,3,1,1,0,1,0,1,0,1,1},
{2,2,2,2,2,2,0,2,0,0,2,0,1,0,1,1,1,1,1,0},
{0,0,2,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0},
{0,0,2,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,1,1},
{0,2,2,2,2,0,2,0,0,2,0,0,1,1,1,0,0,1,0,1},
{0,0,0,0,2,2,2,2,2,2,0,1,1,0,1,1,1,1,1,1},

